Date/Time,Swimming Distance (yd),Source
2022-01-06 09:25:18,0.571,Alan’s Apple Watch
2022-01-06 09:25:19,1.82,Alan’s Apple Watch
2022-01-06 09:25:20,1.82,Alan’s Apple Watch
2022-01-06 09:25:21,1.82,Alan’s Apple Watch
2022-01-06 09:25:22,1.82,Alan’s Apple Watch
2022-01-06 09:25:23,1.82,Alan’s Apple Watch
2022-01-06 09:25:24,1.82,Alan’s Apple Watch
2022-01-06 09:25:25,1.82,Alan’s Apple Watch
2022-01-06 09:25:26,1.82,Alan’s Apple Watch
2022-01-06 09:25:27,1.82,Alan’s Apple Watch
2022-01-06 09:25:28,1.82,Alan’s Apple Watch
2022-01-06 09:25:29,1.82,Alan’s Apple Watch
2022-01-06 09:25:30,1.82,Alan’s Apple Watch
2022-01-06 09:25:31,1.82,Alan’s Apple Watch
2022-01-06 09:25:32,0.715,Alan’s Apple Watch
2022-01-06 09:25:35,0.283,Alan’s Apple Watch
2022-01-06 09:25:36,1.72,Alan’s Apple Watch
2022-01-06 09:25:37,1.72,Alan’s Apple Watch
2022-01-06 09:25:38,1.72,Alan’s Apple Watch
2022-01-06 09:25:39,1.72,Alan’s Apple Watch
2022-01-06 09:25:40,1.72,Alan’s Apple Watch
2022-01-06 09:25:41,1.72,Alan’s Apple Watch
2022-01-06 09:25:42,1.72,Alan’s Apple Watch
2022-01-06 09:25:43,1.72,Alan’s Apple Watch
2022-01-06 09:25:44,1.72,Alan’s Apple Watch
2022-01-06 09:25:45,1.72,Alan’s Apple Watch
2022-01-06 09:25:46,1.72,Alan’s Apple Watch
2022-01-06 09:25:47,1.72,Alan’s Apple Watch
2022-01-06 09:25:48,1.72,Alan’s Apple Watch
2022-01-06 09:25:49,1.72,Alan’s Apple Watch
2022-01-06 09:25:50,0.592,Alan’s Apple Watch
2022-01-06 09:26:06,0.18,Alan’s Apple Watch
2022-01-06 09:26:07,1.38,Alan’s Apple Watch
2022-01-06 09:26:08,1.38,Alan’s Apple Watch
2022-01-06 09:26:09,1.38,Alan’s Apple Watch
