Date/Time,Active Energy (kcal),Source
2022-01-06 09:22:57,0.169,Alan’s Apple Watch
2022-01-06 09:22:58,0.168,Alan’s Apple Watch
2022-01-06 09:22:59,0.168,Alan’s Apple Watch
2022-01-06 09:23:00,0.168,Alan’s Apple Watch
2022-01-06 09:23:01,0.168,Alan’s Apple Watch
2022-01-06 09:23:02,0.166,Alan’s Apple Watch
2022-01-06 09:23:03,0.164,Alan’s Apple Watch
2022-01-06 09:23:04,0.164,Alan’s Apple Watch
2022-01-06 09:23:05,0.163,Alan’s Apple Watch
2022-01-06 09:23:06,0.163,Alan’s Apple Watch
2022-01-06 09:23:07,0.163,Alan’s Apple Watch
2022-01-06 09:23:08,0.163,Alan’s Apple Watch
2022-01-06 09:23:09,0.163,Alan’s Apple Watch
2022-01-06 09:23:10,0.18,Alan’s Apple Watch
2022-01-06 09:23:11,0.187,Alan’s Apple Watch
2022-01-06 09:23:12,0.187,Alan’s Apple Watch
2022-01-06 09:23:13,0.187,Alan’s Apple Watch
2022-01-06 09:23:14,0.187,Alan’s Apple Watch
2022-01-06 09:23:15,0.187,Alan’s Apple Watch
2022-01-06 09:23:16,0.187,Alan’s Apple Watch
2022-01-06 09:23:17,0.187,Alan’s Apple Watch
2022-01-06 09:23:18,0.188,Alan’s Apple Watch
2022-01-06 09:23:19,0.188,Alan’s Apple Watch
2022-01-06 09:23:20,0.188,Alan’s Apple Watch
2022-01-06 09:23:21,0.188,Alan’s Apple Watch
2022-01-06 09:23:22,0.188,Alan’s Apple Watch
2022-01-06 09:23:23,0.188,Alan’s Apple Watch
2022-01-06 09:23:24,0.188,Alan’s Apple Watch
2022-01-06 09:23:25,0.188,Alan’s Apple Watch
2022-01-06 09:23:26,0.188,Alan’s Apple Watch
2022-01-06 09:23:27,0.188,Alan’s Apple Watch
2022-01-06 09:23:28,0.07,Alan’s Apple Watch
2022-01-06 09:23:29,0.017,Alan’s Apple Watch
2022-01-06 09:23:30,0.017,Alan’s Apple Watch
2022-01-06 09:23:31,0.017,Alan’s Apple Watch
2022-01-06 09:23:32,0.017,Alan’s Apple Watch
2022-01-06 09:23:33,0.017,Alan’s Apple Watch
2022-01-06 09:23:34,0.017,Alan’s Apple Watch
2022-01-06 09:23:35,0.017,Alan’s Apple Watch
2022-01-06 09:23:36,0.017,Alan’s Apple Watch
2022-01-06 09:23:37,0.017,Alan’s Apple Watch
2022-01-06 09:23:38,0.083,Alan’s Apple Watch
2022-01-06 09:23:39,0.179,Alan’s Apple Watch
2022-01-06 09:23:40,0.179,Alan’s Apple Watch
2022-01-06 09:23:41,0.209,Alan’s Apple Watch
2022-01-06 09:23:42,0.215,Alan’s Apple Watch
2022-01-06 09:23:43,0.215,Alan’s Apple Watch
2022-01-06 09:23:44,0.215,Alan’s Apple Watch
2022-01-06 09:23:45,0.215,Alan’s Apple Watch
2022-01-06 09:23:46,0.215,Alan’s Apple Watch
2022-01-06 09:23:47,0.215,Alan’s Apple Watch
2022-01-06 09:23:48,0.215,Alan’s Apple Watch
2022-01-06 09:23:49,0.215,Alan’s Apple Watch
2022-01-06 09:23:50,0.215,Alan’s Apple Watch
2022-01-06 09:23:51,0.105,Alan’s Apple Watch
2022-01-06 09:23:52,0.017,Alan’s Apple Watch
2022-01-06 09:23:53,0.017,Alan’s Apple Watch
2022-01-06 09:23:54,0.017,Alan’s Apple Watch
2022-01-06 09:23:55,0.017,Alan’s Apple Watch
2022-01-06 09:23:56,0.017,Alan’s Apple Watch
2022-01-06 09:23:57,0.017,Alan’s Apple Watch
2022-01-06 09:23:58,0.017,Alan’s Apple Watch
2022-01-06 09:23:59,0.017,Alan’s Apple Watch
2022-01-06 09:24:00,0.017,Alan’s Apple Watch
2022-01-06 09:24:01,0.017,Alan’s Apple Watch
